therapeutic_area,source_name,source_type,source_date,insight_type,title,summary,detail,evidence_excerpt,country,region,persona,platform,audience,journey_stage,topic,tags,confidence,importance
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,country_pattern,German patients are highly informed and discuss fibroids across more journey touchpoints,"Germany has the most numerous and detailed fibroid conversations, with patients speaking knowledgeably about prognosis and treatment rather than only symptoms.","German patients often initiate discussion at multiple points in the journey, especially around pregnancy implications and rational treatment choices.",German mentions of uterine fibroids were the most numerous of any country or language ... speak knowledgeably about their prognosis and treatments.,Germany,Europe,Caesarian Fear / Surgery Seeker,,Patient,Multiple Journey Stages,Market Maturity,"[""germany"", ""knowledgeable"", ""treatment"", ""pregnancy""]",0.94,0.91
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,platform_preference,Germany has the strongest fibroid forum ecosystem in the dataset,"German discussion is concentrated across a mature mix of general Q&A, parenting, and women’s-health forums, including Gute Frage, Baby-Forum.de, Forum Mama Community, Eltern, and Go Feminin.","This ecosystem supports deep and detailed conversation, especially around pregnancy and treatment-related questions.","German mentions ... Forums led the conversation; Gute Frage, Baby-Forum.de, Forum Mama Community, Eltern Forums, Go Feminin Forum.",Germany,Europe,,Forums,Patient,Research/Treatment Decision,Platform Preference,"[""germany"", ""gute-frage"", ""baby-forum"", ""go-feminin"", ""forums""]",0.95,0.9
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,information_need,Hungarian patients need native-language resources about reproductive symptoms and treatment,"Hungarian conversation is sparse, but the report explicitly recommends more Hungarian-language resources, especially around pregnancy, endometriosis, ovarian cancer, and hospital care.",Patients trust hospital treatment information shared in forums but remain skeptical of simple solutions and want practical care guidance.,Information resources are limited ... significant to provide Hungarian-language resources ... pregnancy and sharing of hospital care were anecdotally mentioned.,Hungary,Europe,Treatment seeker,,Patient,Treatment Research,Information Need,"[""hungary"", ""native-language"", ""hospital-care"", ""treatment""]",0.87,0.8
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,country_pattern,"Italian conversations skew older and action-oriented, especially around procedures","Italian women often turn to forums later in the journey after a procedural update, with older demographics discussing menopause, surgery, and embolization.","Condition knowledge is relatively high, and women ask highly specific questions to support treatment decisions rather than seeking broad emotional support.",Italian women turn to online communities for information ... later in the patient journey ... older ... specific procedural actions ... skew to older demographics related to menopause.,Italy,Europe,Removed Fibroids / Embolization Treatments,,Patient,Treatment Decision/Post-procedural,Conversation Drivers,"[""italy"", ""menopause"", ""embolization"", ""procedure""]",0.92,0.88
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,platform_preference,Italian fibroid discussion happens on women’s health forums rather than parenting forums,"Italian patients mainly discuss fibroids on women’s-health communities such as Al Femminile Forum, Vulvodinia Forum, Forum Cistite, and La Coppetta Mestruale Forum.",This distinguishes Italy from countries where fibroids mainly surface inside pregnancy-focused spaces.,"Top forums by volume included: Al Femminile Forum, Vulvodinia Forum, Forum Cistite, La Coppetta Mestruale Forum ... female reproductive health issues were the specializations.",Italy,Europe,,Women’s health forums,Patient,Condition Management,Platform Preference,"[""italy"", ""women-health-forums"", ""alfemminile"", ""vulvodinia""]",0.91,0.83
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,country_pattern,Polish patients question each step of the journey and seek authoritative direction,"Polish women show skepticism throughout the patient journey, questioning symptoms, diagnoses, and treatments while wanting confident, authoritative answers.","Conversation is detailed but often emotionally oriented toward peer support rather than medical research, with infertility concerns leading.",Skepticism follows the Polish patient journey ... providing strong messaging that provides authoritative answers may stand out.,Poland,Europe,Infertility Concerns / Questioning Surgery,,Patient,Multiple Journey Stages,Trust and Guidance,"[""poland"", ""skepticism"", ""authoritative-guidance"", ""infertility""]",0.93,0.89
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,platform_preference,Polish fibroid conversations occur on native-language women’s health forums,"Poland has diversified native-language discussion venues, including kafeteria.pl, Poradnikzdrowie.pl, Wizaz.pl, and Alinarose.","Although overall volume is modest, the detail of symptoms and experiences makes Poland a strong qualitative market.","Polish women health related topics on health forums ... f.kafeteria.pl, Alinarose, Poradnikzdrowie.pl, Wizaz.pl.",Poland,Europe,,Women’s health forums,Patient,Research/Peer Support,Platform Preference,"[""poland"", ""wizaz"", ""kafeteria"", ""poradnikzdrowie"", ""native-language""]",0.9,0.81
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,country_pattern,Portuguese discussion centers more on symptoms and treatment than on pregnancy,"Unlike many other markets, Portuguese mentions that do surface are more likely to focus on symptoms and treatments such as embolization and hysteroscopy than on pregnancy complications.","However, low domestic volume and spillover into Brazil complicate interpretation and targeting.",Where uterine fibroids did receive mention was on specific to symptom sharing and treatment focus more often than pregnancy related concerns ... curious about treatments like embolization and hysteroscopy.,Portugal,Europe,,,Patient,Symptom/Treatment Research,Conversation Drivers,"[""portugal"", ""symptoms"", ""treatment"", ""embolization"", ""hysteroscopy""]",0.85,0.77
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,country_pattern,Spanish conversations skew younger and are dominated by pregnancy and fertility concerns,"Spain shows a younger audience profile, with first-pregnancy complications and infertility concerns dominating fibroid conversation.","Fibroids are usually first encountered as part of a pregnancy or fertility question, and peer reassurance matters alongside information.",The population is young and worried about fertility ... centered around the baby and its health during pregnancy ... emotional support.,Spain,Europe,First Pregnancy / Infertility Concerns,,Patient,Pregnancy/Fertility,Conversation Drivers,"[""spain"", ""young"", ""pregnancy"", ""fertility"", ""peer-support""]",0.93,0.9
Uterine Fibroids,Social Listening Report: Uterine Fibroids,report,2015-06-01,platform_preference,Spain relies on Spanish-language affiliates of major women’s health and pregnancy forums,"Spanish discussion is concentrated on detailed forum communities such as EnFemenino, BabyCenter en Español, Crianza Natural, and Foros Vogue.",These franchised platforms provide rich patient-journey detail and appear suitable for targeting and deeper qualitative mining.,"Forum En Femenino, Comunidad BabyCenter En Espanol, Foros Vogue, Forum Crianza Natural ... detailed and revealing throughout each thread.",Spain,Europe,,Spanish-language pregnancy and women’s forums,Patient,Research/Peer Support,Platform Preference,"[""spain"", ""enfemenino"", ""babycenter"", ""crianza-natural"", ""forums""]",0.92,0.84
